,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement
depth_sample,0.033510000604596524,0.08057464398275882,0.04080145054700912,0.007946782644335904
mineral_1,0.040212654475138665,0.16442442981668393,0.1252834898780235,0.013558984064279911
mineral_2,0.008448845306944675,0.024661187414168784,0.10331701982481056,0.005474698605618555
d13C,0.0021470352382400026,-0.0019353621133008092,0.003874048574650013,0.001354316033372882
Sr/Ca,0.012699699483433302,0.034323358525948144,0.021525134349685393,0.003994408186902554
Mg/Ca,0.002071854271004314,-0.00417947251648676,0.007065654609310523,0.011119695143917752
Î´18O,0.057713373752852015,0.08477089668315319,0.025189039656724144,0.046869579126815886
uncertainty,0.1155697070867514,0.1169092080048264,0.06612367336814029,0.017368461420604775
age_model,0.06915518003712706,0.1832246305998011,0.026846481838267433,0.013417855259377665
interp_type,0.12850149653396925,0.18212736304158805,0.0872215397979762,0.04668505929086664
